CustomerID,FirstName,LastName,Email,Gender,DateOfBirth,Country,City,RegistrationDate,LastPurchaseDate
221365cd-e01b-427b-a2c3-f83377381fe7,Michael,Harvey,laurie94@massey.com,Female,07/06/1964,Falkland Islands (Malvinas),Karenbury,21/04/2023,09/04/2024
81624259-6c30-4bc8-8ba2-f11c8dc28a23,Katie,Washington,moraleswilliam@scott-bauer.info,Female,07/10/1954,Tanzania,Higginschester,07/07/2020,24/02/2024
649a57cf-2c88-4b08-9ee3-61c05bb789bb,Zachary,Mitchell,davistimothy@wallace.com,Female,26/05/1965,Tajikistan,Lake Ashleyville,14/08/2021,22/05/2024
147bf4a8-81bc-4816-a784-099d1dd4078c,Donald,Walker,franceshaas@robbins.info,Female,10/09/1984,Montenegro,North Lisa,31/12/2022,31/03/2024
d68ff59d-be70-4e10-8627-62ba528d0dc4,Johnathan,Moody,fraziertony@gmail.com,Male,29/08/1956,Niue,Johnsonmouth,26/08/2021,11/01/2024
9eae9ddc-c9d5-438e-9182-076d2d4548e5,Michael,Carter,jonathonsmith@hotmail.com,Other,01/04/1997,Sudan,East Deniseview,27/11/2021,18/01/2024
b9d6f319-511a-4f14-bd19-6d63e057d183,Ashley,Garza,cdean@marshall.biz,Female,05/04/1976,Indonesia,West Samantha,20/08/2020,01/06/2024
a0919df0-000d-4448-a52e-9cc27483db50,Brandi,Proctor,mahoneyjoshua@powell.net,Female,28/02/1969,Trinidad and Tobago,Houseland,25/07/2023,04/02/2024
77f74705-e8ee-4389-a768-d3a283855c45,Derek,Meyer,williamsthomas@hotmail.com,Female,25/07/1974,Nauru,Christybury,01/06/2021,03/04/2024
d38cbc7d-3458-4022-b0aa-d5f616de58a8,Bryce,Clark,emily05@ellis.org,Female,09/12/2000,French Southern Territories,New Lisa,02/04/2024,18/04/2024
ed55f2c8-ae77-4939-976c-a4a1a2626e71,Ashley,Steele,lovevictoria@yahoo.com,Non-binary,10/12/1957,Heard Island and McDonald Islands,Lopezport,18/05/2024,10/06/2024
823d782c-1e66-40fc-be82-cd66f00ec17e,Jeffrey,Harris,michael50@smith.com,Female,20/10/1999,Burkina Faso,Jamesmouth,06/10/2020,24/06/2024
e02b0b5f-3db8-4e46-8467-45da06689d3b,Kristin,Payne,michaelmoore@hotmail.com,Male,03/07/1977,Mozambique,South Allisontown,16/05/2024,27/02/2024
fb174274-3447-4142-b62b-ff11373c5177,Tamara,Collins,thompsonanthony@blake-herrera.info,Male,04/01/2006,Vanuatu,Sloanfurt,20/10/2021,08/06/2024
7947e9ad-1612-488b-810f-97058f56d846,Cassandra,Gomez,nicole13@hotmail.com,Female,27/07/1978,Isle of Man,Maxwellshire,04/04/2020,14/02/2024
3bb8fbeb-3191-41e1-9343-e2fb79bc6d21,Maria,Armstrong,gallegosdenise@yahoo.com,Female,23/04/1988,Western Sahara,Kristinburgh,03/04/2021,01/03/2024
801ffe02-1e1f-44ba-a0ff-fe5334fe022f,Jessica,Riley,imann@contreras.info,Other,15/11/1968,Kenya,Port Heathermouth,08/05/2020,13/06/2024
b19b604a-5300-497c-8ed4-160f3c8ed7ae,Andrea,Rivers,fwalton@yahoo.com,Female,01/04/1998,Congo,Peterport,03/12/2022,24/01/2024
4b3378c5-92d7-4a41-8e8c-8a5950739d51,John,Martinez,cwhite@hotmail.com,Male,07/12/1983,Mali,Calvinbury,10/06/2024,01/06/2024
052f1ee4-55f4-4dfd-ba68-1f191a17075c,Michelle,Chandler,johnkelley@murphy.net,Male,05/11/1986,Liberia,West Kathleenburgh,24/02/2023,03/04/2024
001d48cb-f3ee-44c5-808f-597082a5d732,Shelley,Russell,alopez@yahoo.com,Female,29/01/1960,Cook Islands,West Laurenchester,18/06/2021,07/05/2024
d87c089d-4ffd-483a-a86f-2b78ee09bd94,Briana,Rodriguez,coffeyjo@sanchez.com,Non-binary,26/01/1992,Malaysia,South Mario,08/06/2022,21/03/2024
dc01d567-7bb2-4dee-8ba5-bd6b367b584b,Rebecca,Coleman,burnettcindy@hotmail.com,Female,25/08/1961,Mongolia,Spencerchester,25/11/2021,18/06/2024
6fbbf292-1baf-491e-8f85-18ae2fdeac94,Alexander,Phillips,cmcdonald@ochoa-martinez.info,Male,01/07/1983,Zambia,Harringtontown,05/07/2020,19/04/2024
c17aa6c9-eee4-4f1a-95bd-f4f4415f5894,William,Torres,fmiller@hotmail.com,Female,02/04/1969,Finland,Tonyahaven,17/08/2021,14/02/2024
136e53b8-c5dc-40a1-85b4-ffa3cdd88f33,David,Newman,gcooper@keith.com,Female,18/12/2002,Iceland,Hahnland,04/05/2022,15/06/2024
04c2ee0b-6ee2-499b-9efa-53b7e688af15,James,Alvarez,vbird@yahoo.com,Male,07/08/1992,Bolivia,East Patriciatown,25/10/2023,16/06/2024
34dec49e-2526-4836-adb5-9725438758ed,Kathryn,Anthony,bentleykevin@yahoo.com,Male,02/10/1973,Brunei Darussalam,Williamsborough,14/07/2021,15/02/2024
69c70683-1b62-407a-80c1-4952d5ca3cbe,Julian,Carlson,melissa18@gmail.com,Non-binary,08/01/1995,Anguilla,Jacobborough,07/02/2020,05/04/2024
12ebba69-fa69-4dd2-a907-bd5bc2b6ceff,Jordan,Warren,tking@yahoo.com,Male,15/11/1991,Tonga,East Yvonnefurt,09/03/2024,28/01/2024
83263cf6-de48-4d2a-a9a3-6c199fe4e261,Brian,Hunt,jenniferkelley@hodge.com,Other,26/07/1966,Norfolk Island,Lake Angelafort,07/03/2024,14/03/2024
870b3619-1481-4d67-a653-1b74642b37a4,Susan,Ellis,awade@yahoo.com,Male,19/08/1957,Jordan,Grayville,06/09/2023,26/01/2024
9396ee1c-62b4-4d03-aa3f-0964a928b1b2,Nancy,Hunt,qparsons@kelly-elliott.info,Female,01/03/1956,New Zealand,New Edwardfort,10/03/2024,12/02/2024
93339843-da65-42fb-b0ac-92dacb423941,Joseph,Johnson,megan71@gmail.com,Male,14/01/1966,Turkey,New Markview,05/02/2023,20/02/2024
82a7969c-a8dd-45fb-86c3-cb715370a688,Veronica,Brewer,eanderson@yahoo.com,Female,18/11/1990,United Kingdom,Port Ronaldview,18/05/2024,22/02/2024
c31371a7-18ad-4be2-86f8-a7e5c50da5fd,Caroline,Goodwin,andreaesparza@yahoo.com,Female,12/02/1963,Peru,North Craig,18/12/2023,18/01/2024
29bb6d50-dc82-41ea-878a-d88070a7d851,Denise,Anderson,utaylor@gmail.com,Female,05/05/1954,Andorra,East David,04/12/2022,05/05/2024
6611657c-eb70-4442-82e5-c7e80acaf272,Emily,Shaw,smithcarol@yahoo.com,Male,17/05/2006,Pakistan,Mcbrideburgh,18/05/2021,22/02/2024
